alpha,n,q1,me,q3,ips
0,4500,0.0812125153280751,0.21327285494388,0.548321573982005,0
0.120689655172414,4500,0.157955246622873,0.423239012850254,0.730049153153175,0.107692307692308
0.12429949509495,4500,0.177116795439178,0.441346951998684,0.734314627942892,0.110557280900008
0.183822320454552,4500,0.201652813171183,0.479500194558511,0.749712387869133,0.155278640450004
0.241379310344828,4500,0.24652352585738,0.531230829887775,0.770662677594002,0.194444444444444
0.283885859146393,4500,0.269298813624851,0.556848823058704,0.779677444505041,0.221114561800017
0.3,4500,0.260895103640547,0.552040293329758,0.778377170190941,0.230769230769231
0.362068965517241,4500,0.26850139219323,0.548519273429341,0.777571283519658,0.265822784810127
0.45044682073866,4500,0.284878376155097,0.562542898150778,0.777632781499052,0.310557280900008
0.482758620689655,4500,0.291072315563571,0.562195485483767,0.776625598707975,0.325581395348837
0.496270939773014,4500,0.284203104547787,0.564390251363279,0.775781386920304,0.331671842700025
0.5,4500,0.287172964414829,0.563943897302143,0.77475034059737,0.333333333333333
0.603448275862069,4500,0.293742276208719,0.564136160477103,0.775710733951329,0.376344086021505
0.7,4500,0.296215696335651,0.564814146941881,0.776162471998349,0.411764705882353
0.724137931034483,4500,0.295420286814315,0.566162856075683,0.774038879332167,0.42
0.792850868181436,4500,0.299610124207885,0.567794109427843,0.773564431670131,0.442229123600034
0.844827586206897,4500,0.29960414637843,0.568623413926449,0.772910834426992,0.457943925233645
0.872083953169103,4500,0.300288429753449,0.5671306919225,0.77310333235994,0.465835921350013
0.9,4500,0.300467497027029,0.567670285823562,0.773493054468474,0.473684210526316
0.96551724137931,4500,0.302090703452278,0.566386008132798,0.772035601526161,0.491228070175439
1,4500,0.303103409846002,0.567932692599598,0.771676250281701,0.5
1.08620689655172,4500,0.305504572373713,0.567528898480555,0.771049083532629,0.520661157024793
1.20689655172414,4500,0.305509930712321,0.567366097555061,0.770435724015695,0.546875
1.23606797749979,4500,0.307392957837926,0.567198316918001,0.771474267462127,0.552786404500042
1.32758620689655,4500,0.308328573223996,0.568690176868238,0.771228366169349,0.57037037037037
1.44827586206897,4500,0.309735102244069,0.568243204865916,0.771135055461173,0.591549295774648
1.56896551724138,4500,0.312328747777148,0.568843981758367,0.770047733943588,0.610738255033557
1.6393202250021,4500,0.311168955612846,0.568117799966297,0.769804184872013,0.621114561800017
1.68965517241379,4500,0.311142721905433,0.568796405663013,0.769572982988479,0.628205128205128
1.81034482758621,4500,0.312914275450769,0.569670736736175,0.768732886528687,0.644171779141104
1.93103448275862,4500,0.312453184006493,0.569303535461764,0.76828809196622,0.658823529411765
2.05172413793103,4500,0.31292119527966,0.569375853481061,0.767615349579442,0.672316384180791
2.17241379310345,4500,0.313334193776531,0.569021335575252,0.768049243438757,0.684782608695652
2.29310344827586,4500,0.314053579277932,0.569114781361936,0.76768154494034,0.696335078534031
2.41379310344828,4500,0.314846806665833,0.569405675441828,0.768120529041009,0.707070707070707
2.53448275862069,4500,0.315161756770827,0.569685576206892,0.767406747893232,0.717073170731707
2.6551724137931,4500,0.315590698766922,0.56866936857562,0.766799280736839,0.726415094339623
2.77586206896552,4500,0.315784332671526,0.568445279425357,0.766156587982558,0.735159817351598
2.89655172413793,4500,0.316187686524512,0.568103247400312,0.766192569519555,0.743362831858407
3.01724137931034,4500,0.316579431384903,0.567810173389099,0.766154246700888,0.751072961373391
3.13793103448276,4500,0.316872226605874,0.567483507585323,0.765903701427564,0.758333333333333
3.25862068965517,4500,0.317336162896503,0.567483829799698,0.765301376905478,0.765182186234818
3.37931034482759,4500,0.317322131762415,0.567279779411739,0.764361404417509,0.771653543307087
3.47213595499958,4500,0.317523644105524,0.567125182952319,0.764284075268029,0.776393202250021
3.5,4500,0.317598405307515,0.567072636330463,0.764490123265277,0.777777777777778
